Longitude,Latitude,Espèce,DHP,Hauteur,Volume
-68.01462385,51.05286983,C,18,16,0.176578241
-68.01462363,51.05016684,F,14,16,0.106818936
-68.01462309,51.05013337,C,24,14,0.281721559
-68.01462297,51.04999661,C,26,18,0.404357629
-68.01462222,51.05383868,C,18,18,0.193804544
-68.01462164,51.05259126,C,24,16,0.313916874
-68.0146209,51.05292272,C,14,14,0.095863586
-68.0146207,51.05175649,C,24,16,0.313916874
-68.01462061,51.05220046,F,18,15,0.167637949
-68.01462019,51.05201757,C,24,16,0.313916874
-68.01462014,51.05183854,C,18,16,0.176578241
-68.01462009,51.0522563,F,26,17,0.386608879
-68.01461872,51.05209362,C,22,15,0.250422122
-68.01461841,51.05087356,F,14,18,0.117239786
-68.01461836,51.05121162,C,16,17,0.146408096
-68.01461761,51.05233976,F,24,17,0.329418216
-68.01461727,51.0518409,F,22,15,0.250422122
-68.01461609,51.05102776,C,20,18,0.239264869
-68.01461577,51.05317079,C,20,15,0.206960431
-68.0146157,51.05300979,C,24,14,0.281721559
-68.01461517,51.05018164,F,24,17,0.329418216
-68.01461514,51.05014189,C,14,17,0.112093699
-68.0146146,51.05227653,F,22,17,0.276802807
-68.01461259,51.0511106,C,18,15,0.167637949
-68.01461255,51.0497789,C,18,18,0.193804544
-68.01461248,51.04982631,C,20,14,0.195639972
-68.01461197,51.05096803,C,14,16,0.106818936
-68.01461181,51.05246565,C,26,17,0.386608879
-68.01461167,51.05138105,F,16,15,0.132454676
-68.01461025,51.05090594,C,24,16,0.313916874
-68.01460968,51.05302258,C,24,14,0.281721559
-68.01460903,51.05300825,C,20,18,0.239264869
-68.01460893,51.05102483,C,26,14,0.330631552
-68.01460813,51.05361665,C,20,15,0.206960431
-68.0146076,51.05240493,C,14,17,0.112093699
-68.0146067,51.05228313,F,18,14,0.158468377
-68.01460566,51.0518765,F,20,16,0.217997829
-68.01460562,51.05336897,C,16,15,0.132454676
-68.01460551,51.05332159,C,20,14,0.195639972
-68.01460373,51.05134195,C,20,16,0.217997829
-68.01460331,51.05250602,C,16,14,0.125209582
-68.01460277,51.05313454,C,22,17,0.276802807
-68.01460205,51.05084647,C,16,17,0.146408096
-68.01460199,51.05417137,C,22,15,0.250422122
-68.01460181,51.05107314,C,26,18,0.404357629
-68.01460089,51.05303955,C,24,14,0.281721559
-68.01460086,51.05060678,F,26,17,0.386608879
-68.01460081,51.05235639,C,14,15,0.101410611
-68.01459953,51.05153592,C,18,14,0.158468377
-68.01459911,51.05261445,C,18,14,0.158468377
-68.01459879,51.05099227,C,20,16,0.217997829
-68.01459836,51.05392867,F,20,17,0.22876265
-68.0145981,51.05404799,C,18,16,0.176578241
-68.01459776,51.0498645,C,18,14,0.158468377
-68.01459757,51.05102746,C,26,16,0.368416331
-68.01459668,51.05244029,C,16,18,0.153129516
-68.01459661,51.05144732,C,26,15,0.349763129
-68.01459578,51.05171861,F,20,16,0.217997829
-68.01459493,51.05168007,C,24,16,0.313916874
-68.01459492,51.05362893,F,20,14,0.195639972
-68.01459473,51.05264121,C,22,14,0.236724366
-68.01459452,51.05265399,F,18,16,0.176578241
-68.01459439,51.04988228,C,16,15,0.132454676
-68.01459429,51.05122609,C,22,17,0.276802807
-68.01459376,51.05149077,C,20,15,0.206960431
-68.01459352,51.05357205,C,26,16,0.368416331
-68.01459347,51.05019048,F,20,17,0.22876265
-68.01459318,51.05028682,C,18,16,0.176578241
-68.01459283,51.05307358,C,20,16,0.217997829
-68.01459212,51.0520855,C,22,16,0.263777373
-68.01459186,51.05042162,C,14,17,0.112093699
-68.01459173,51.0506859,F,16,17,0.146408096
-68.01459072,51.04988392,C,20,18,0.239264869
-68.01459032,51.05275372,C,22,14,0.236724366
-68.01459018,51.05016122,F,16,15,0.132454676
-68.01459013,51.05005146,C,18,15,0.167637949
